date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:14	16934/16934	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:14%20GMT	https://www.loc.gov/rr/useofcollections.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/useofcollections.html	(from https://www.loc.gov/rr/)
20:32:15	15636/15636	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2015:11:47%20GMT	https://www.loc.gov/rr/rarebook/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/rarebook/index.html	(from https://www.loc.gov/rr/)
20:32:15	16776/16776	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202019%2019:39:07%20GMT	https://www.loc.gov/rr/record/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/record/index.html	(from https://www.loc.gov/rr/)
20:32:15	14064/14064	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:15%20GMT	https://www.loc.gov/rr/coll-overview.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/coll-overview.html	(from https://www.loc.gov/rr/)
20:32:15	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.loc.gov/visit/maps/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/visit/maps/index.html	(from https://www.loc.gov/rr/)
20:32:15	12712/12712	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202019%2019:22:55%20GMT	https://www.loc.gov/rr/main/inforeas/orient.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/main/inforeas/orient.html	(from https://www.loc.gov/rr/)
20:32:15	11572/11572	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202016%2014:57:24%20GMT	https://www.loc.gov/rr/main/inforeas/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/main/inforeas/index.html	(from https://www.loc.gov/rr/)
20:32:17	13283/13283	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Jun%202017%2019:27:51%20GMT	https://www.loc.gov/rr/cmd/genrrcalm.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/cmd/genrrcalm.html	(from https://www.loc.gov/rr/)
20:32:17	10944/10944	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202019%2012:05:16%20GMT	http://www.loc.gov/rr/cmd/advancereservescalm.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/cmd/advancereservescalm.html	(from https://www.loc.gov/rr/)
20:32:17	13919/13919	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202016%2015:37:32%20GMT	https://www.loc.gov/rr/program/journey/	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/program/journey/index.html	(from https://www.loc.gov/rr/)
